"Index","rank1","rank2","rank3","rank4","rank5","rank6","rank7"
"SP53","DALE WATSON","CRAIG JENSEN","MICHAEL SNELSON","CRAIG CONOVER","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","AMANDA MILLER"
"SP54","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","CRAIG JENSEN","CRAIG CONOVER","DALE WATSON","AMANDA MILLER"
"SP55","MICHAEL SNELSON","XIMENA M. BISHOP","DALE WATSON","AMANDA MILLER","CRAIG JENSEN","MARCIA CONOVER-HARRIS","CRAIG CONOVER"
"SP56","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","CRAIG JENSEN","CRAIG CONOVER","DALE WATSON","AMANDA MILLER"
"SP57","DALE WATSON","XIMENA M. BISHOP","MICHAEL SNELSON","AMANDA MILLER","CRAIG JENSEN","MARCIA CONOVER-HARRIS","CRAIG CONOVER"
"SP58","CRAIG CONOVER","AMANDA MILLER","DALE WATSON","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","CRAIG JENSEN","XIMENA M. BISHOP"
"SP59","XIMENA M. BISHOP","MICHAEL SNELSON","DALE WATSON","AMANDA MILLER","CRAIG JENSEN","MARCIA CONOVER-HARRIS","CRAIG CONOVER"
"SP60","CRAIG JENSEN","MICHAEL SNELSON","AMANDA MILLER","DALE WATSON","CRAIG CONOVER","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP"
"SP61","CRAIG JENSEN","MICHAEL SNELSON","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG CONOVER","DALE WATSON","AMANDA MILLER"
"SP62","MICHAEL SNELSON","CRAIG CONOVER","MARCIA CONOVER-HARRIS","DALE WATSON","AMANDA MILLER","XIMENA M. BISHOP","CRAIG JENSEN"
"SP63","MICHAEL SNELSON","XIMENA M. BISHOP","CRAIG JENSEN","AMANDA MILLER","skipped","CRAIG CONOVER","MARCIA CONOVER-HARRIS"
"SP64","MICHAEL SNELSON","CRAIG JENSEN","skipped","skipped","skipped","skipped","skipped"
"SP65","MICHAEL SNELSON","XIMENA M. BISHOP","CRAIG JENSEN","MARCIA CONOVER-HARRIS","DALE WATSON","CRAIG CONOVER","AMANDA MILLER"
"SP66","MICHAEL SNELSON","CRAIG JENSEN","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","DALE WATSON","AMANDA MILLER","CRAIG CONOVER"
"SP67","XIMENA M. BISHOP","MICHAEL SNELSON","DALE WATSON","CRAIG JENSEN","AMANDA MILLER","MARCIA CONOVER-HARRIS","CRAIG CONOVER"
"SP68","MICHAEL SNELSON","CRAIG CONOVER","skipped","skipped","skipped","skipped","skipped"
"SP69","MICHAEL SNELSON","CRAIG JENSEN","DALE WATSON","CRAIG CONOVER","skipped","skipped","skipped"
"SP70","XIMENA M. BISHOP","CRAIG JENSEN","MARCIA CONOVER-HARRIS","CRAIG CONOVER","MICHAEL SNELSON","AMANDA MILLER","DALE WATSON"
"SP71","MICHAEL SNELSON","CRAIG JENSEN","DALE WATSON","CRAIG CONOVER","MARCIA CONOVER-HARRIS","AMANDA MILLER","XIMENA M. BISHOP"
"SP72","CRAIG CONOVER","DALE WATSON","CRAIG JENSEN","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","AMANDA MILLER","XIMENA M. BISHOP"
"SP73","MICHAEL SNELSON","DALE WATSON","AMANDA MILLER","CRAIG JENSEN","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG CONOVER"
"SP74","AMANDA MILLER","AMANDA MILLER","AMANDA MILLER","MARCIA CONOVER-HARRIS","MARCIA CONOVER-HARRIS","MARCIA CONOVER-HARRIS","CRAIG CONOVER"
"SP75","MICHAEL SNELSON","DALE WATSON","AMANDA MILLER","CRAIG JENSEN","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG CONOVER"
"SP76","MARCIA CONOVER-HARRIS","AMANDA MILLER","skipped","skipped","skipped","skipped","skipped"
"SP77","CRAIG JENSEN","CRAIG CONOVER","XIMENA M. BISHOP","DALE WATSON","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","AMANDA MILLER"
"SP78","XIMENA M. BISHOP","CRAIG JENSEN","MARCIA CONOVER-HARRIS","AMANDA MILLER","CRAIG CONOVER","MICHAEL SNELSON","DALE WATSON"
"SP79","MICHAEL SNELSON","XIMENA M. BISHOP","CRAIG CONOVER","MARCIA CONOVER-HARRIS","DALE WATSON","CRAIG JENSEN","AMANDA MILLER"
"SP80","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"SP81","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","AMANDA MILLER","DALE WATSON","CRAIG CONOVER","CRAIG JENSEN","MICHAEL SNELSON"
"SP82","MICHAEL SNELSON","XIMENA M. BISHOP","CRAIG JENSEN","AMANDA MILLER","DALE WATSON","MARCIA CONOVER-HARRIS","CRAIG CONOVER"
"SP83","XIMENA M. BISHOP","CRAIG CONOVER","MARCIA CONOVER-HARRIS","skipped","skipped","skipped","skipped"
"SP84","MICHAEL SNELSON","XIMENA M. BISHOP","CRAIG JENSEN","AMANDA MILLER","DALE WATSON","MARCIA CONOVER-HARRIS","CRAIG CONOVER"
"SP85","XIMENA M. BISHOP","MICHAEL SNELSON","DALE WATSON","CRAIG CONOVER","MARCIA CONOVER-HARRIS","CRAIG JENSEN","AMANDA MILLER"
"SP86","MICHAEL SNELSON","CRAIG CONOVER","MARCIA CONOVER-HARRIS","AMANDA MILLER","skipped","XIMENA M. BISHOP","DALE WATSON"
"SP87","XIMENA M. BISHOP","DALE WATSON","MARCIA CONOVER-HARRIS","CRAIG JENSEN","MICHAEL SNELSON","skipped","overvote"
"SP88","CRAIG CONOVER","DALE WATSON","AMANDA MILLER","CRAIG JENSEN","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP"
"SP89","CRAIG CONOVER","MICHAEL SNELSON","CRAIG JENSEN","AMANDA MILLER","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","DALE WATSON"
"SP90","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"SP91","MICHAEL SNELSON","CRAIG JENSEN","skipped","skipped","skipped","skipped","skipped"
"SP92","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"SP93","MICHAEL SNELSON","CRAIG JENSEN","skipped","skipped","skipped","skipped","skipped"
