"Index","rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9"
"LE3422","MICHELLE MILES","CAMI PURTSCHERT","MONTANE C HAMILTON","CHRIS CONDIE","LORI MCINTOSH LE","PAUL HANCOCK","NICOLE KUNZE","AARON BULLEN","ETHAN M. ERICKSON"
"LE3423","PAUL HANCOCK","NICOLE KUNZE","AARON BULLEN","CHRIS CONDIE","LORI MCINTOSH LE","MICHELLE MILES","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE3424","NICOLE KUNZE","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3425","NICOLE KUNZE","PAUL HANCOCK","LORI MCINTOSH LE","AARON BULLEN","MICHELLE MILES","CHRIS CONDIE","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE3426","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3427","PAUL HANCOCK","MICHELLE MILES","CHRIS CONDIE","LORI MCINTOSH LE","CAMI PURTSCHERT","NICOLE KUNZE","AARON BULLEN","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE3428","MICHELLE MILES","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3429","NICOLE KUNZE","CHRIS CONDIE","CAMI PURTSCHERT","MICHELLE MILES","PAUL HANCOCK","AARON BULLEN","MONTANE C HAMILTON","LORI MCINTOSH LE","ETHAN M. ERICKSON"
"LE3430","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3431","LORI MCINTOSH LE","MONTANE C HAMILTON","PAUL HANCOCK","MICHELLE MILES","CHRIS CONDIE","AARON BULLEN","NICOLE KUNZE","ETHAN M. ERICKSON","CAMI PURTSCHERT"
"LE3432","LORI MCINTOSH LE","NICOLE KUNZE","CAMI PURTSCHERT","MICHELLE MILES","CHRIS CONDIE","PAUL HANCOCK","MONTANE C HAMILTON","AARON BULLEN","ETHAN M. ERICKSON"
"LE3433","NICOLE KUNZE","PAUL HANCOCK","LORI MCINTOSH LE","MONTANE C HAMILTON","CHRIS CONDIE","AARON BULLEN","MICHELLE MILES","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE3434","NICOLE KUNZE","LORI MCINTOSH LE","MICHELLE MILES","MONTANE C HAMILTON","PAUL HANCOCK","CAMI PURTSCHERT","CHRIS CONDIE","AARON BULLEN","ETHAN M. ERICKSON"
"LE3435","MICHELLE MILES","LORI MCINTOSH LE","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","CAMI PURTSCHERT","AARON BULLEN","ETHAN M. ERICKSON","MONTANE C HAMILTON"
"LE3436","CAMI PURTSCHERT","CHRIS CONDIE","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3437","MONTANE C HAMILTON","CAMI PURTSCHERT","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3438","AARON BULLEN","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3439","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE","CAMI PURTSCHERT","CHRIS CONDIE","PAUL HANCOCK","ETHAN M. ERICKSON","AARON BULLEN","MONTANE C HAMILTON"
"LE3440","LORI MCINTOSH LE","NICOLE KUNZE","PAUL HANCOCK","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped"
"LE3441","LORI MCINTOSH LE","MICHELLE MILES","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3442","PAUL HANCOCK","CAMI PURTSCHERT","NICOLE KUNZE","skipped","MONTANE C HAMILTON","skipped","skipped","skipped","CHRIS CONDIE"
"LE3443","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3444","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped","skipped","CHRIS CONDIE"
"LE3445","CHRIS CONDIE","PAUL HANCOCK","MICHELLE MILES","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped"
"LE3446","NICOLE KUNZE","AARON BULLEN","CHRIS CONDIE","PAUL HANCOCK","LORI MCINTOSH LE","MONTANE C HAMILTON","ETHAN M. ERICKSON","CAMI PURTSCHERT","MICHELLE MILES"
"LE3447","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","LORI MCINTOSH LE","MONTANE C HAMILTON","AARON BULLEN","ETHAN M. ERICKSON","CAMI PURTSCHERT","MICHELLE MILES"
"LE3448","NICOLE KUNZE","AARON BULLEN","PAUL HANCOCK","CAMI PURTSCHERT","MONTANE C HAMILTON","MICHELLE MILES","CHRIS CONDIE","LORI MCINTOSH LE","ETHAN M. ERICKSON"
"LE3449","PAUL HANCOCK","NICOLE KUNZE","LORI MCINTOSH LE","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped"
"LE3450","PAUL HANCOCK","CHRIS CONDIE","NICOLE KUNZE","LORI MCINTOSH LE","MICHELLE MILES","AARON BULLEN","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE3451","NICOLE KUNZE","CHRIS CONDIE","LORI MCINTOSH LE","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped"
"LE3452","CHRIS CONDIE","NICOLE KUNZE","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3453","LORI MCINTOSH LE","NICOLE KUNZE","MICHELLE MILES","CAMI PURTSCHERT","AARON BULLEN","PAUL HANCOCK","MONTANE C HAMILTON","ETHAN M. ERICKSON","skipped"
"LE3454","NICOLE KUNZE","MICHELLE MILES","MONTANE C HAMILTON","LORI MCINTOSH LE","AARON BULLEN","CHRIS CONDIE","PAUL HANCOCK","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE3455","LORI MCINTOSH LE","NICOLE KUNZE","CAMI PURTSCHERT","MONTANE C HAMILTON","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON","PAUL HANCOCK","CHRIS CONDIE"
"LE3456","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3457","PAUL HANCOCK","LORI MCINTOSH LE","MONTANE C HAMILTON","NICOLE KUNZE","CHRIS CONDIE","AARON BULLEN","MICHELLE MILES","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE3458","CHRIS CONDIE","PAUL HANCOCK","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3459","CAMI PURTSCHERT","LORI MCINTOSH LE","AARON BULLEN","MICHELLE MILES","PAUL HANCOCK","NICOLE KUNZE","CHRIS CONDIE","ETHAN M. ERICKSON","MONTANE C HAMILTON"
"LE3460","CHRIS CONDIE","PAUL HANCOCK","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3461","NICOLE KUNZE","PAUL HANCOCK","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3462","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3463","CHRIS CONDIE","NICOLE KUNZE","PAUL HANCOCK","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped"
"LE3464","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped"
"LE3465","LORI MCINTOSH LE","CHRIS CONDIE","NICOLE KUNZE","MICHELLE MILES","CAMI PURTSCHERT","MONTANE C HAMILTON","PAUL HANCOCK","AARON BULLEN","ETHAN M. ERICKSON"
"LE3466","CAMI PURTSCHERT","PAUL HANCOCK","MICHELLE MILES","LORI MCINTOSH LE","AARON BULLEN","CHRIS CONDIE","NICOLE KUNZE","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE3467","NICOLE KUNZE","LORI MCINTOSH LE","PAUL HANCOCK","MONTANE C HAMILTON","MICHELLE MILES","CAMI PURTSCHERT","CHRIS CONDIE","AARON BULLEN","ETHAN M. ERICKSON"
"LE3468","AARON BULLEN","PAUL HANCOCK","ETHAN M. ERICKSON","CAMI PURTSCHERT","CHRIS CONDIE","MONTANE C HAMILTON","LORI MCINTOSH LE","NICOLE KUNZE","MICHELLE MILES"
"LE3469","NICOLE KUNZE","LORI MCINTOSH LE","AARON BULLEN","CHRIS CONDIE","MONTANE C HAMILTON","PAUL HANCOCK","CAMI PURTSCHERT","ETHAN M. ERICKSON","MICHELLE MILES"
"LE3470","LORI MCINTOSH LE","MONTANE C HAMILTON","PAUL HANCOCK","MICHELLE MILES","CAMI PURTSCHERT","NICOLE KUNZE","CHRIS CONDIE","ETHAN M. ERICKSON","AARON BULLEN"
"LE3471","AARON BULLEN","PAUL HANCOCK","ETHAN M. ERICKSON","CAMI PURTSCHERT","CHRIS CONDIE","MONTANE C HAMILTON","LORI MCINTOSH LE","NICOLE KUNZE","MICHELLE MILES"
"LE3472","CAMI PURTSCHERT","PAUL HANCOCK","AARON BULLEN","CHRIS CONDIE","MONTANE C HAMILTON","LORI MCINTOSH LE","MICHELLE MILES","NICOLE KUNZE","ETHAN M. ERICKSON"
"LE3473","CHRIS CONDIE","LORI MCINTOSH LE","NICOLE KUNZE","MICHELLE MILES","PAUL HANCOCK","MONTANE C HAMILTON","AARON BULLEN","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE3474","NICOLE KUNZE","PAUL HANCOCK","MONTANE C HAMILTON","CAMI PURTSCHERT","CHRIS CONDIE","AARON BULLEN","MICHELLE MILES","LORI MCINTOSH LE","ETHAN M. ERICKSON"
"LE3475","AARON BULLEN","MICHELLE MILES","CHRIS CONDIE","NICOLE KUNZE","CAMI PURTSCHERT","MONTANE C HAMILTON","LORI MCINTOSH LE","PAUL HANCOCK","ETHAN M. ERICKSON"
"LE3476","NICOLE KUNZE","MICHELLE MILES","CAMI PURTSCHERT","LORI MCINTOSH LE","PAUL HANCOCK","CHRIS CONDIE","AARON BULLEN","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE3477","CAMI PURTSCHERT","AARON BULLEN","MICHELLE MILES","LORI MCINTOSH LE","CHRIS CONDIE","PAUL HANCOCK","MONTANE C HAMILTON","NICOLE KUNZE","ETHAN M. ERICKSON"
"LE3478","CAMI PURTSCHERT","MONTANE C HAMILTON","MICHELLE MILES","ETHAN M. ERICKSON","NICOLE KUNZE","LORI MCINTOSH LE","AARON BULLEN","PAUL HANCOCK","CHRIS CONDIE"
"LE3479","CHRIS CONDIE","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3480","CAMI PURTSCHERT","PAUL HANCOCK","LORI MCINTOSH LE","MONTANE C HAMILTON","ETHAN M. ERICKSON","NICOLE KUNZE","MICHELLE MILES","AARON BULLEN","CHRIS CONDIE"
"LE3481","NICOLE KUNZE","PAUL HANCOCK","CAMI PURTSCHERT","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped"
"LE3482","MICHELLE MILES","AARON BULLEN","CHRIS CONDIE","LORI MCINTOSH LE","CAMI PURTSCHERT","PAUL HANCOCK","NICOLE KUNZE","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE3483","AARON BULLEN","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON","CHRIS CONDIE","PAUL HANCOCK"
"LE3484","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE","AARON BULLEN","ETHAN M. ERICKSON","CAMI PURTSCHERT","MONTANE C HAMILTON","PAUL HANCOCK","CHRIS CONDIE"
"LE3485","CAMI PURTSCHERT","CHRIS CONDIE","NICOLE KUNZE","LORI MCINTOSH LE","CHRIS CONDIE","MICHELLE MILES","PAUL HANCOCK","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE3486","CHRIS CONDIE","PAUL HANCOCK","MICHELLE MILES","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped"
"LE3487","MICHELLE MILES","CHRIS CONDIE","NICOLE KUNZE","PAUL HANCOCK","CAMI PURTSCHERT","AARON BULLEN","LORI MCINTOSH LE","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE3488","CHRIS CONDIE","PAUL HANCOCK","LORI MCINTOSH LE","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped"
"LE3489","ETHAN M. ERICKSON","PAUL HANCOCK","NICOLE KUNZE","CAMI PURTSCHERT","CHRIS CONDIE","MONTANE C HAMILTON","LORI MCINTOSH LE","AARON BULLEN","MICHELLE MILES"
"LE3490","CHRIS CONDIE","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3491","CHRIS CONDIE","PAUL HANCOCK","ETHAN M. ERICKSON","LORI MCINTOSH LE","NICOLE KUNZE","AARON BULLEN","CAMI PURTSCHERT","MICHELLE MILES","MONTANE C HAMILTON"
"LE3492","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3493","AARON BULLEN","MICHELLE MILES","LORI MCINTOSH LE","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","MONTANE C HAMILTON","ETHAN M. ERICKSON","NICOLE KUNZE"
"LE3494","PAUL HANCOCK","LORI MCINTOSH LE","MONTANE C HAMILTON","NICOLE KUNZE","CHRIS CONDIE","skipped","skipped","skipped","skipped"
"LE3495","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","MICHELLE MILES","CAMI PURTSCHERT","MONTANE C HAMILTON","LORI MCINTOSH LE","ETHAN M. ERICKSON"
"LE3496","LORI MCINTOSH LE","NICOLE KUNZE","CAMI PURTSCHERT","PAUL HANCOCK","MONTANE C HAMILTON","MICHELLE MILES","AARON BULLEN","PAUL HANCOCK","CHRIS CONDIE"
"LE3497","MONTANE C HAMILTON","PAUL HANCOCK","CAMI PURTSCHERT","LORI MCINTOSH LE","AARON BULLEN","NICOLE KUNZE","CHRIS CONDIE","MICHELLE MILES","ETHAN M. ERICKSON"
"LE3498","MONTANE C HAMILTON","LORI MCINTOSH LE","NICOLE KUNZE","AARON BULLEN","MICHELLE MILES","PAUL HANCOCK","CHRIS CONDIE","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE3499","MICHELLE MILES","AARON BULLEN","CAMI PURTSCHERT","ETHAN M. ERICKSON","NICOLE KUNZE","CHRIS CONDIE","LORI MCINTOSH LE","MONTANE C HAMILTON","PAUL HANCOCK"
"LE3500","PAUL HANCOCK","CHRIS CONDIE","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON","MICHELLE MILES","LORI MCINTOSH LE","AARON BULLEN","NICOLE KUNZE"
"LE3501","CAMI PURTSCHERT","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3502","AARON BULLEN","MICHELLE MILES","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3503","PAUL HANCOCK","LORI MCINTOSH LE","NICOLE KUNZE","CHRIS CONDIE","MONTANE C HAMILTON","MICHELLE MILES","CAMI PURTSCHERT","AARON BULLEN","ETHAN M. ERICKSON"
"LE3504","CHRIS CONDIE","NICOLE KUNZE","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3505","NICOLE KUNZE","PAUL HANCOCK","CAMI PURTSCHERT","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped"
"LE3506","CHRIS CONDIE","AARON BULLEN","CAMI PURTSCHERT","NICOLE KUNZE","PAUL HANCOCK","ETHAN M. ERICKSON","LORI MCINTOSH LE","MONTANE C HAMILTON","MICHELLE MILES"
"LE3507","NICOLE KUNZE","CAMI PURTSCHERT","MONTANE C HAMILTON","CHRIS CONDIE","AARON BULLEN","ETHAN M. ERICKSON","MICHELLE MILES","LORI MCINTOSH LE","PAUL HANCOCK"
"LE3508","CHRIS CONDIE","NICOLE KUNZE","PAUL HANCOCK","MONTANE C HAMILTON","LORI MCINTOSH LE","AARON BULLEN","skipped","skipped","skipped"
"LE3509","NICOLE KUNZE","LORI MCINTOSH LE","CHRIS CONDIE","PAUL HANCOCK","MONTANE C HAMILTON","CAMI PURTSCHERT","MICHELLE MILES","ETHAN M. ERICKSON","AARON BULLEN"
"LE3510","MONTANE C HAMILTON","PAUL HANCOCK","CHRIS CONDIE","AARON BULLEN","ETHAN M. ERICKSON","CAMI PURTSCHERT","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE"
"LE3511","PAUL HANCOCK","NICOLE KUNZE","CHRIS CONDIE","LORI MCINTOSH LE","MONTANE C HAMILTON","ETHAN M. ERICKSON","CAMI PURTSCHERT","MICHELLE MILES","AARON BULLEN"
"LE3512","PAUL HANCOCK","MICHELLE MILES","LORI MCINTOSH LE","AARON BULLEN","ETHAN M. ERICKSON","NICOLE KUNZE","CAMI PURTSCHERT","CHRIS CONDIE","MONTANE C HAMILTON"
"LE3513","AARON BULLEN","NICOLE KUNZE","CHRIS CONDIE","MICHELLE MILES","PAUL HANCOCK","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON","MONTANE C HAMILTON"
"LE3514","PAUL HANCOCK","NICOLE KUNZE","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3515","PAUL HANCOCK","MONTANE C HAMILTON","AARON BULLEN","CHRIS CONDIE","LORI MCINTOSH LE","MICHELLE MILES","NICOLE KUNZE","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE3516","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3517","PAUL HANCOCK","LORI MCINTOSH LE","CHRIS CONDIE","NICOLE KUNZE","skipped","skipped","skipped","skipped","skipped"
"LE3518","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3519","LORI MCINTOSH LE","MICHELLE MILES","AARON BULLEN","CAMI PURTSCHERT","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE3520","CHRIS CONDIE","PAUL HANCOCK","LORI MCINTOSH LE","NICOLE KUNZE","MONTANE C HAMILTON","ETHAN M. ERICKSON","skipped","skipped","skipped"
"LE3521","NICOLE KUNZE","MICHELLE MILES","CHRIS CONDIE","AARON BULLEN","LORI MCINTOSH LE","PAUL HANCOCK","CAMI PURTSCHERT","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE3522","NICOLE KUNZE","MONTANE C HAMILTON","PAUL HANCOCK","LORI MCINTOSH LE","CHRIS CONDIE","MICHELLE MILES","AARON BULLEN","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE3523","LORI MCINTOSH LE","NICOLE KUNZE","MONTANE C HAMILTON","PAUL HANCOCK","ETHAN M. ERICKSON","MICHELLE MILES","CAMI PURTSCHERT","CHRIS CONDIE","AARON BULLEN"
"LE3524","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","CAMI PURTSCHERT","MICHELLE MILES","LORI MCINTOSH LE","MONTANE C HAMILTON","AARON BULLEN","ETHAN M. ERICKSON"
"LE3525","CHRIS CONDIE","MONTANE C HAMILTON","LORI MCINTOSH LE","NICOLE KUNZE","PAUL HANCOCK","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON","CAMI PURTSCHERT"
"LE3526","LORI MCINTOSH LE","MICHELLE MILES","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","ETHAN M. ERICKSON","CAMI PURTSCHERT","MONTANE C HAMILTON","AARON BULLEN"
"LE3527","PAUL HANCOCK","CHRIS CONDIE","NICOLE KUNZE","LORI MCINTOSH LE","MICHELLE MILES","CAMI PURTSCHERT","AARON BULLEN","ETHAN M. ERICKSON","MONTANE C HAMILTON"
"LE3528","CAMI PURTSCHERT","AARON BULLEN","MICHELLE MILES","CHRIS CONDIE","LORI MCINTOSH LE","PAUL HANCOCK","NICOLE KUNZE","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE3529","PAUL HANCOCK","CHRIS CONDIE","NICOLE KUNZE","LORI MCINTOSH LE","MICHELLE MILES","CAMI PURTSCHERT","AARON BULLEN","ETHAN M. ERICKSON","MONTANE C HAMILTON"
"LE3530","LORI MCINTOSH LE","NICOLE KUNZE","CAMI PURTSCHERT","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","MONTANE C HAMILTON","MICHELLE MILES","ETHAN M. ERICKSON"
"LE3531","CHRIS CONDIE","CAMI PURTSCHERT","ETHAN M. ERICKSON","NICOLE KUNZE","MICHELLE MILES","PAUL HANCOCK","AARON BULLEN","MONTANE C HAMILTON","LORI MCINTOSH LE"
"LE3532","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3533","AARON BULLEN","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3534","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","NICOLE KUNZE","MONTANE C HAMILTON","CAMI PURTSCHERT","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON"
"LE3535","MICHELLE MILES","AARON BULLEN","MONTANE C HAMILTON","ETHAN M. ERICKSON","CAMI PURTSCHERT","skipped","skipped","skipped","skipped"
"LE3536","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","NICOLE KUNZE","MONTANE C HAMILTON","CAMI PURTSCHERT","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON"
"LE3537","PAUL HANCOCK","MONTANE C HAMILTON","CHRIS CONDIE","NICOLE KUNZE","LORI MCINTOSH LE","AARON BULLEN","CAMI PURTSCHERT","MICHELLE MILES","ETHAN M. ERICKSON"
"LE3538","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","NICOLE KUNZE","MONTANE C HAMILTON","CAMI PURTSCHERT","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON"
"LE3539","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3540","LORI MCINTOSH LE","PAUL HANCOCK","CAMI PURTSCHERT","NICOLE KUNZE","MICHELLE MILES","CHRIS CONDIE","AARON BULLEN","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE3541","LORI MCINTOSH LE","MICHELLE MILES","AARON BULLEN","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE3542","MICHELLE MILES","NICOLE KUNZE","PAUL HANCOCK","MONTANE C HAMILTON","CAMI PURTSCHERT","LORI MCINTOSH LE","CHRIS CONDIE","AARON BULLEN","ETHAN M. ERICKSON"
"LE3543","CAMI PURTSCHERT","AARON BULLEN","NICOLE KUNZE","MONTANE C HAMILTON","MICHELLE MILES","CHRIS CONDIE","LORI MCINTOSH LE","PAUL HANCOCK","ETHAN M. ERICKSON"
"LE3544","ETHAN M. ERICKSON","MICHELLE MILES","AARON BULLEN","CAMI PURTSCHERT","CHRIS CONDIE","NICOLE KUNZE","LORI MCINTOSH LE","PAUL HANCOCK","MONTANE C HAMILTON"
"LE3545","CHRIS CONDIE","AARON BULLEN","MICHELLE MILES","PAUL HANCOCK","NICOLE KUNZE","ETHAN M. ERICKSON","MONTANE C HAMILTON","CAMI PURTSCHERT","LORI MCINTOSH LE"
"LE3546","CHRIS CONDIE","PAUL HANCOCK","MICHELLE MILES","LORI MCINTOSH LE","NICOLE KUNZE","CAMI PURTSCHERT","MONTANE C HAMILTON","ETHAN M. ERICKSON","AARON BULLEN"
"LE3547","LORI MCINTOSH LE","NICOLE KUNZE","PAUL HANCOCK","MICHELLE MILES","MONTANE C HAMILTON","CHRIS CONDIE","AARON BULLEN","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE3548","CAMI PURTSCHERT","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3549","MICHELLE MILES","NICOLE KUNZE","CAMI PURTSCHERT","LORI MCINTOSH LE","AARON BULLEN","MONTANE C HAMILTON","CHRIS CONDIE","ETHAN M. ERICKSON","PAUL HANCOCK"
"LE3550","MONTANE C HAMILTON","LORI MCINTOSH LE","AARON BULLEN","NICOLE KUNZE","CAMI PURTSCHERT","MICHELLE MILES","CHRIS CONDIE","PAUL HANCOCK","ETHAN M. ERICKSON"
"LE3551","LORI MCINTOSH LE","CAMI PURTSCHERT","CHRIS CONDIE","MONTANE C HAMILTON","NICOLE KUNZE","PAUL HANCOCK","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON"
"LE3552","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","LORI MCINTOSH LE","MONTANE C HAMILTON","skipped","skipped","skipped","skipped"
"LE3553","LORI MCINTOSH LE","CAMI PURTSCHERT","NICOLE KUNZE","MICHELLE MILES","MONTANE C HAMILTON","skipped","skipped","skipped","skipped"
"LE3554","LORI MCINTOSH LE","PAUL HANCOCK","NICOLE KUNZE","CAMI PURTSCHERT","MICHELLE MILES","MONTANE C HAMILTON","CHRIS CONDIE","AARON BULLEN","ETHAN M. ERICKSON"
"LE3555","CHRIS CONDIE","AARON BULLEN","PAUL HANCOCK","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped"
"LE3556","AARON BULLEN","MICHELLE MILES","PAUL HANCOCK","MONTANE C HAMILTON","CAMI PURTSCHERT","LORI MCINTOSH LE","CHRIS CONDIE","NICOLE KUNZE","ETHAN M. ERICKSON"
"LE3557","NICOLE KUNZE","CAMI PURTSCHERT","AARON BULLEN","CHRIS CONDIE","LORI MCINTOSH LE","ETHAN M. ERICKSON","MONTANE C HAMILTON","PAUL HANCOCK","MICHELLE MILES"
"LE3558","MICHELLE MILES","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3559","NICOLE KUNZE","CAMI PURTSCHERT","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3560","MICHELLE MILES","MONTANE C HAMILTON","CAMI PURTSCHERT","CHRIS CONDIE","LORI MCINTOSH LE","PAUL HANCOCK","NICOLE KUNZE","AARON BULLEN","ETHAN M. ERICKSON"
"LE3561","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3562","ETHAN M. ERICKSON","MICHELLE MILES","AARON BULLEN","CAMI PURTSCHERT","CHRIS CONDIE","NICOLE KUNZE","LORI MCINTOSH LE","PAUL HANCOCK","MONTANE C HAMILTON"
"LE3563","NICOLE KUNZE","LORI MCINTOSH LE","PAUL HANCOCK","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped"
"LE3564","PAUL HANCOCK","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3565","skipped","MICHELLE MILES","CAMI PURTSCHERT","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3566","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","LORI MCINTOSH LE","MONTANE C HAMILTON","CAMI PURTSCHERT","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON"
"LE3567","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped"
"LE3568","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3569","CHRIS CONDIE","PAUL HANCOCK","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped","skipped"
"LE3570","CAMI PURTSCHERT","CHRIS CONDIE","PAUL HANCOCK","MONTANE C HAMILTON","AARON BULLEN","LORI MCINTOSH LE","MICHELLE MILES","NICOLE KUNZE","ETHAN M. ERICKSON"
