"Index","rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9"
"LE6620","CHRIS CONDIE","PAUL HANCOCK","MICHELLE MILES","NICOLE KUNZE","LORI MCINTOSH LE","CAMI PURTSCHERT","MONTANE C HAMILTON","ETHAN M. ERICKSON","AARON BULLEN"
"LE6621","CHRIS CONDIE","LORI MCINTOSH LE","PAUL HANCOCK","CAMI PURTSCHERT","MICHELLE MILES","MONTANE C HAMILTON","NICOLE KUNZE","AARON BULLEN","ETHAN M. ERICKSON"
"LE6622","overvote","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6623","AARON BULLEN","MICHELLE MILES","PAUL HANCOCK","LORI MCINTOSH LE","CAMI PURTSCHERT","NICOLE KUNZE","MONTANE C HAMILTON","CHRIS CONDIE","ETHAN M. ERICKSON"
"LE6624","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","NICOLE KUNZE","AARON BULLEN","MICHELLE MILES","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE6625","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","NICOLE KUNZE","MONTANE C HAMILTON","skipped","skipped","skipped","skipped"
"LE6626","LORI MCINTOSH LE","NICOLE KUNZE","MICHELLE MILES","CAMI PURTSCHERT","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE6627","AARON BULLEN","LORI MCINTOSH LE","NICOLE KUNZE","MONTANE C HAMILTON","PAUL HANCOCK","CHRIS CONDIE","MICHELLE MILES","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE6628","PAUL HANCOCK","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6629","PAUL HANCOCK","LORI MCINTOSH LE","CHRIS CONDIE","NICOLE KUNZE","CAMI PURTSCHERT","MONTANE C HAMILTON","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON"
"LE6630","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","ETHAN M. ERICKSON","MONTANE C HAMILTON","CAMI PURTSCHERT","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE"
"LE6631","LORI MCINTOSH LE","PAUL HANCOCK","CHRIS CONDIE","CAMI PURTSCHERT","MICHELLE MILES","MONTANE C HAMILTON","AARON BULLEN","NICOLE KUNZE","ETHAN M. ERICKSON"
"LE6632","MICHELLE MILES","AARON BULLEN","NICOLE KUNZE","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped"
"LE6633","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6634","LORI MCINTOSH LE","NICOLE KUNZE","CAMI PURTSCHERT","MONTANE C HAMILTON","AARON BULLEN","ETHAN M. ERICKSON","PAUL HANCOCK","MICHELLE MILES","CHRIS CONDIE"
"LE6635","AARON BULLEN","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6636","MICHELLE MILES","LORI MCINTOSH LE","CAMI PURTSCHERT","ETHAN M. ERICKSON","CHRIS CONDIE","NICOLE KUNZE","PAUL HANCOCK","AARON BULLEN","MONTANE C HAMILTON"
"LE6637","CAMI PURTSCHERT","LORI MCINTOSH LE","PAUL HANCOCK","MONTANE C HAMILTON","skipped","skipped","skipped","skipped","skipped"
"LE6638","CAMI PURTSCHERT","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE","MONTANE C HAMILTON","AARON BULLEN","ETHAN M. ERICKSON"
"LE6639","CHRIS CONDIE","NICOLE KUNZE","PAUL HANCOCK","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON","LORI MCINTOSH LE","MONTANE C HAMILTON","CAMI PURTSCHERT"
"LE6640","LORI MCINTOSH LE","PAUL HANCOCK","ETHAN M. ERICKSON","CHRIS CONDIE","NICOLE KUNZE","MONTANE C HAMILTON","AARON BULLEN","CAMI PURTSCHERT","MICHELLE MILES"
"LE6641","CAMI PURTSCHERT","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6642","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","CAMI PURTSCHERT","AARON BULLEN","MICHELLE MILES","MONTANE C HAMILTON","LORI MCINTOSH LE","ETHAN M. ERICKSON"
"LE6643","CHRIS CONDIE","AARON BULLEN","LORI MCINTOSH LE","PAUL HANCOCK","MICHELLE MILES","MONTANE C HAMILTON","NICOLE KUNZE","ETHAN M. ERICKSON","CAMI PURTSCHERT"
"LE6644","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6645","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","LORI MCINTOSH LE","MICHELLE MILES","CAMI PURTSCHERT","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE6646","MICHELLE MILES","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6647","AARON BULLEN","MICHELLE MILES","CAMI PURTSCHERT","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6648","MICHELLE MILES","AARON BULLEN","NICOLE KUNZE","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped"
"LE6649","MICHELLE MILES","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6650","NICOLE KUNZE","LORI MCINTOSH LE","MONTANE C HAMILTON","PAUL HANCOCK","CAMI PURTSCHERT","CHRIS CONDIE","ETHAN M. ERICKSON","MICHELLE MILES","AARON BULLEN"
"LE6651","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6652","MONTANE C HAMILTON","PAUL HANCOCK","NICOLE KUNZE","LORI MCINTOSH LE","CHRIS CONDIE","AARON BULLEN","skipped","skipped","skipped"
"LE6653","MONTANE C HAMILTON","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6654","NICOLE KUNZE","LORI MCINTOSH LE","MONTANE C HAMILTON","PAUL HANCOCK","CAMI PURTSCHERT","CHRIS CONDIE","ETHAN M. ERICKSON","MICHELLE MILES","AARON BULLEN"
"LE6655","PAUL HANCOCK","CHRIS CONDIE","CAMI PURTSCHERT","ETHAN M. ERICKSON","NICOLE KUNZE","AARON BULLEN","MICHELLE MILES","MONTANE C HAMILTON","LORI MCINTOSH LE"
"LE6656","ETHAN M. ERICKSON","NICOLE KUNZE","CAMI PURTSCHERT","CHRIS CONDIE","MONTANE C HAMILTON","AARON BULLEN","LORI MCINTOSH LE","MICHELLE MILES","PAUL HANCOCK"
"LE6657","MONTANE C HAMILTON","PAUL HANCOCK","LORI MCINTOSH LE","CHRIS CONDIE","MICHELLE MILES","AARON BULLEN","NICOLE KUNZE","ETHAN M. ERICKSON","CAMI PURTSCHERT"
"LE6658","NICOLE KUNZE","AARON BULLEN","CAMI PURTSCHERT","MICHELLE MILES","LORI MCINTOSH LE","PAUL HANCOCK","ETHAN M. ERICKSON","CHRIS CONDIE","MONTANE C HAMILTON"
"LE6659","overvote","CAMI PURTSCHERT","LORI MCINTOSH LE","skipped","NICOLE KUNZE","ETHAN M. ERICKSON","MONTANE C HAMILTON","PAUL HANCOCK","CHRIS CONDIE"
"LE6660","PAUL HANCOCK","NICOLE KUNZE","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6661","AARON BULLEN","NICOLE KUNZE","CHRIS CONDIE","LORI MCINTOSH LE","PAUL HANCOCK","MONTANE C HAMILTON","MICHELLE MILES","skipped","skipped"
"LE6662","LORI MCINTOSH LE","PAUL HANCOCK","CAMI PURTSCHERT","MICHELLE MILES","MONTANE C HAMILTON","NICOLE KUNZE","CHRIS CONDIE","AARON BULLEN","ETHAN M. ERICKSON"
"LE6663","AARON BULLEN","MICHELLE MILES","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped","skipped"
