"Index","rank1","rank2","rank3","rank4"
"GE351","HALE ROBISON","DARON S. HUGHES","skipped","GRANT LUNDBERG"
"GE352","skipped","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG"
"GE353","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE354","skipped","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG"
"GE355","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE356","GRANT LUNDBERG","DARON S. HUGHES","HALE ROBISON","skipped"
"GE357","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE358","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE359","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE360","HALE ROBISON","skipped","GRANT LUNDBERG","DARON S. HUGHES"
"GE361","skipped","skipped","skipped","skipped"
"GE362","skipped","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG"
"GE363","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE364","GRANT LUNDBERG","DARON S. HUGHES","skipped","HALE ROBISON"
"GE365","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE366","GRANT LUNDBERG","DARON S. HUGHES","HALE ROBISON","skipped"
"GE367","GRANT LUNDBERG","DARON S. HUGHES","skipped","skipped"
"GE368","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE369","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE370","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE371","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE372","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE373","HALE ROBISON","DARON S. HUGHES","skipped","GRANT LUNDBERG"
"GE374","HALE ROBISON","DARON S. HUGHES","skipped","GRANT LUNDBERG"
"GE375","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE376","skipped","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG"
"GE377","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE378","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE379","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE380","GRANT LUNDBERG","HALE ROBISON","skipped","DARON S. HUGHES"
"GE381","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE382","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE383","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE384","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE385","HALE ROBISON","DARON S. HUGHES","DARON S. HUGHES","GRANT LUNDBERG"
"GE386","GRANT LUNDBERG","skipped","DARON S. HUGHES","HALE ROBISON"
"GE387","GRANT LUNDBERG","HALE ROBISON","skipped","DARON S. HUGHES"
"GE388","HALE ROBISON","GRANT LUNDBERG","skipped","DARON S. HUGHES"
"GE389","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE390","GRANT LUNDBERG","DARON S. HUGHES","HALE ROBISON","skipped"
"GE391","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE392","skipped","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON"
"GE393","skipped","HALE ROBISON","GRANT LUNDBERG","skipped"
