"Index","rank1","rank2","rank3","rank4"
"GE111","HALE ROBISON","skipped","DARON S. HUGHES","GRANT LUNDBERG"
"GE112","HALE ROBISON","GRANT LUNDBERG","skipped","skipped"
"GE113","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE114","skipped","HALE ROBISON","skipped","skipped"
"GE115","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE116","HALE ROBISON","skipped","GRANT LUNDBERG","DARON S. HUGHES"
"GE117","HALE ROBISON","skipped","skipped","skipped"
"GE118","DARON S. HUGHES","skipped","skipped","skipped"
"GE119","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE120","HALE ROBISON","skipped","skipped","skipped"
"GE121","HALE ROBISON","skipped","DARON S. HUGHES","GRANT LUNDBERG"
"GE122","skipped","HALE ROBISON","skipped","skipped"
"GE123","HALE ROBISON","skipped","skipped","skipped"
"GE124","HALE ROBISON","skipped","GRANT LUNDBERG","DARON S. HUGHES"
"GE125","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE126","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE127","GRANT LUNDBERG","skipped","HALE ROBISON","DARON S. HUGHES"
"GE128","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE129","DARON S. HUGHES","GRANT LUNDBERG","skipped","skipped"
"GE130","HALE ROBISON","GRANT LUNDBERG","skipped","skipped"
"GE131","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE132","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE133","DARON S. HUGHES","skipped","GRANT LUNDBERG","HALE ROBISON"
"GE134","DARON S. HUGHES","HALE ROBISON","GRANT LUNDBERG","skipped"
"GE135","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE136","DARON S. HUGHES","GRANT LUNDBERG","skipped","HALE ROBISON"
"GE137","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE138","HALE ROBISON","DARON S. HUGHES","skipped","GRANT LUNDBERG"
"GE139","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE140","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE141","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE142","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE143","HALE ROBISON","DARON S. HUGHES","skipped","skipped"
"GE144","HALE ROBISON","skipped","GRANT LUNDBERG","DARON S. HUGHES"
"GE145","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE146","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE147","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE148","DARON S. HUGHES","skipped","GRANT LUNDBERG","HALE ROBISON"
"GE149","skipped","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG"
"GE150","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE151","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE152","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE153","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE154","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE155","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE156","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE157","HALE ROBISON","DARON S. HUGHES","skipped","skipped"
"GE158","HALE ROBISON","GRANT LUNDBERG","skipped","DARON S. HUGHES"
"GE159","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE160","DARON S. HUGHES","skipped","skipped","skipped"
"GE161","GRANT LUNDBERG","skipped","DARON S. HUGHES","HALE ROBISON"
"GE162","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE163","DARON S. HUGHES","skipped","skipped","skipped"
"GE164","GRANT LUNDBERG","skipped","DARON S. HUGHES","HALE ROBISON"
"GE165","DARON S. HUGHES","skipped","skipped","skipped"
"GE166","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE167","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE168","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE169","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE170","DARON S. HUGHES","HALE ROBISON","GRANT LUNDBERG","skipped"
"GE171","HALE ROBISON","GRANT LUNDBERG","skipped","skipped"
"GE172","GRANT LUNDBERG","DARON S. HUGHES","skipped","HALE ROBISON"
"GE173","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE174","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
